Symbol;Open;High;Low;Close;Volume BTC;Volume USDT
BTCUSDT;63890.01;64228.35;63810.0;63866.0;1483.35239;94949519.733337
BTCUSDT;63092.23;63935.91;63041.04;63890.0;1736.5398;110440935.0121847
BTCUSDT;62968.83;63172.58;62820.0;63092.24;479.12589;30180209.5935199
BTCUSDT;62987.37;63134.12;62894.85;62968.82;540.43192;34062730.9241755
BTCUSDT;62870.0;62988.0;62546.37;62987.37;882.8794;55375443.5536915
BTCUSDT;63033.24;63050.0;62705.88;62870.0;612.29352;38500381.3207072
BTCUSDT;62792.01;63221.74;62774.38;63033.23;779.87808;49141143.8218788
BTCUSDT;63039.07;63158.8;62754.0;62792.02;1229.02619;77373535.4092249
BTCUSDT;62834.99;63112.29;62735.55;63039.07;1282.58611;80694642.4857653
BTCUSDT;62014.0;63014.67;61878.61;62834.99;2963.05386;185336130.193929
BTCUSDT;62602.32;62698.55;61765.53;62014.0;2539.89307;157997265.0145401
BTCUSDT;62256.0;62653.44;62049.0;62602.33;1426.98241;89012847.7484778
BTCUSDT;62388.96;62421.66;62179.99;62256.0;787.39096;49061524.2425429
BTCUSDT;62536.01;62673.18;62388.96;62388.97;758.89579;47449967.5942788
BTCUSDT;62397.99;62660.01;62276.73;62536.01;676.75773;42231673.9603352
BTCUSDT;62399.98;62498.61;62220.01;62398.0;810.86485;50566873.2284914
BTCUSDT;62199.69;62417.85;61942.38;62399.98;1363.33041;84814341.9212968
BTCUSDT;62444.88;62473.8;61923.13;62199.69;1730.38453;107583310.4653835
BTCUSDT;62542.0;62542.0;62059.27;62444.88;916.04523;57089845.4865818
BTCUSDT;62279.68;62639.4;62200.03;62542.0;968.14551;60486070.7359798
BTCUSDT;62706.34;62764.84;62150.52;62279.67;1735.88484;108512784.4763264
BTCUSDT;63231.99;63285.08;62570.0;62706.33;1267.73202;79672627.2026572
BTCUSDT;63257.42;63367.05;63084.18;63232.0;538.9217;34063746.6292436
BTCUSDT;63151.06;63164.7;62781.0;63118.62;1452.8037;91453730.2862713
BTCUSDT;63662.0;63714.76;62870.0;63151.05;2240.65115;141639868.3079492
BTCUSDT;63686.0;63745.86;63609.0;63661.99;302.76645;19274622.4660614
BTCUSDT;63730.49;63745.91;63588.72;63686.0;297.88874;18961019.2773984
BTCUSDT;63924.0;63928.0;63715.36;63730.49;333.66857;21293497.4953004
BTCUSDT;63768.47;63976.0;63694.5;63923.99;516.14116;32943589.3395824
BTCUSDT;63705.38;63814.0;63570.3;63768.47;356.62991;22711866.0473576
BTCUSDT;63540.0;63800.4;63483.18;63705.38;581.54965;37024487.5536628
BTCUSDT;63607.2;63652.0;63460.0;63540.0;484.35903;30780847.0601159
BTCUSDT;63775.42;63783.6;63488.0;63607.19;631.8713;40210976.1427281
BTCUSDT;63590.03;63869.09;63534.0;63775.43;721.19096;45966400.5336637
BTCUSDT;63484.0;63673.0;63415.6;63590.03;584.23839;37137268.869689
BTCUSDT;63694.5;63710.87;63394.68;63484.01;593.89629;37725284.0241026
BTCUSDT;63759.34;63792.6;63345.55;63694.5;935.90021;59487868.6656225
BTCUSDT;63709.99;63823.79;63676.0;63759.33;403.40056;25720503.9731403
BTCUSDT;63915.5;63979.27;63639.17;63709.98;820.9331;52375764.0883763
BTCUSDT;63967.14;64060.0;63894.21;63915.5;518.62823;33171953.0543733
BTCUSDT;63954.0;64017.29;63800.0;63967.14;642.86388;41085756.575265
BTCUSDT;63843.14;64000.0;63810.0;63953.99;498.55699;31847638.6247937
BTCUSDT;64021.62;64049.99;63827.88;63843.14;645.62516;41295011.9302062
BTCUSDT;63950.01;64370.0;63932.78;64021.62;1474.08693;94567221.7343114
BTCUSDT;63603.6;64050.0;63552.68;63950.0;868.50899;55447074.4157787
BTCUSDT;63616.58;63698.74;63523.45;63603.6;405.42161;25789866.5790316
BTCUSDT;63260.0;63555.56;63259.99;63461.98;386.62307;24527728.6639099
BTCUSDT;63289.57;63474.99;63233.81;63259.99;466.47485;29550049.4335701
BTCUSDT;63277.99;63357.32;63157.98;63289.57;272.97496;17265419.448419
BTCUSDT;63352.11;63461.53;63160.0;63277.99;409.41437;25904043.0494062
BTCUSDT;63339.06;63388.42;63192.07;63352.11;513.5246;32510057.9482523
BTCUSDT;63416.22;63619.96;62821.82;63339.05;1908.6806;120722060.9248301
BTCUSDT;62750.0;63650.0;62750.0;63416.21;1543.53726;97622983.4597896
BTCUSDT;62951.75;63111.89;62750.0;62750.0;948.11005;59673895.9504069
BTCUSDT;63131.65;63212.09;62860.0;62951.75;485.44443;30587995.325698
BTCUSDT;63227.09;63408.53;63063.82;63131.65;837.02186;52918506.569933
BTCUSDT;63034.62;63271.79;63006.21;63227.09;733.00539;46294931.3896462
BTCUSDT;62862.13;63174.0;62810.29;63034.62;1448.38454;91307638.4327731
BTCUSDT;62795.99;62950.0;62673.37;62862.14;515.81605;32410536.7067947
BTCUSDT;62984.45;62991.54;62730.0;62796.0;675.06558;42434278.2816724
BTCUSDT;63016.01;63055.49;62878.78;62984.45;434.02841;27323132.1419163
BTCUSDT;62966.84;63060.0;62913.48;63016.01;454.7809;28645827.5719219
BTCUSDT;63028.0;63160.71;62946.0;62966.83;397.31671;25059533.1670324
